ville;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Aubervilliers;Anthony Daguet;daguet;PCF;NON;0;;;;@Anthony_Daguet;recherche web;TWITTER OK
Aubervilliers;Nabila Djebbari;djebbari;DVG;NON;4;;;;@NabilaDjebbari;recherche web;TWITTER OK
Aubervilliers;Marc Guerrien;guerrien;DVG;NON;0;;;;;;A RECHERCHER
Aubervilliers;Jean-Louis Lavazec;lavazec;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Aulnay-sous-Bois;Bruno Beschizza;beschizza;LR, Vivre Aulnay / Protéger Aulnay notre fierté;NON;0;https://brunobeschizza.fr/;;;@brunobeschizza;recherche web;TWITTER OK
Aulnay-sous-Bois;Elena Malandra;malandra;LFI-PCF, La force de changer à Aulnay-sous-Bois;NON;0;;;;;;A RECHERCHER
Aulnay-sous-Bois;Oussouf Siby;siby;PS-EELV;NON;0;;;;;;A RECHERCHER
Aulnay-sous-Bois;Cheickh Nguette;nguette;Démocratie Représentative, Aulnay Humaniste;NON;0;;;;;;A RECHERCHER
Avignon;David Fournier;fournier;PS (Parti Socialiste);NON;4;;;;;;A RECHERCHER
Avignon;Anne-Sophie Rigault;rigault;RN (Rassemblement National);NON;5;;;;@as_rigaultrn;recherche web;TWITTER OK
Avignon;Mathilde Louvain;louvain;LFI (La France Insoumise);NON;6;;;;;;A RECHERCHER
Avignon;Olivier Galzi;galzi;Sans étiquette (droite), Galzi pour Avignon 2026;NON;8;;;;;;A RECHERCHER
Avignon;Stéphan Fiori;fiori;Divers droite, Entreprendre pour Avignon;NON;4;;;;;;A RECHERCHER
Avignon;François Jacob;jacob;Sans étiquette;NON;0;;;;;;A RECHERCHER
Besançon;Anne Vignot;vignot;Les Écologistes-PCF-Génération.s;NON;0;;;;;;A RECHERCHER
Besançon;Ludovic Fagaut;fagaut;LR-MoDem, Ensemble Besançon avance;NON;0;;;;;;A RECHERCHER
Besançon;Éric Delabrousse;delabrousse;Horizons-Renaissance-Parti radical;NON;0;;eric.delabrousse@univ-fcomte.fr;universitaire;;recherche web;EMAIL OK
Besançon;Séverine Véziès;vezies;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Besançon;Jacques Ricciardetti;ricciardetti;RN-UDR-DLF-Identité Libertés;NON;0;;;;;;A RECHERCHER
Bordeaux;Pierre Hurmic;hurmic;Bordeaux Respire (Écologistes);OUI;11;https://pierrehurmic2026.fr/notre-programme/;contact@pierrehurmic2026.fr;campagne;@PierreHurmic;pierrehurmic2026.fr;EMAIL OK
Bordeaux;Thomas Cazenave;cazenave;Renaissance;OUI;22;https://fairegagnerbordeaux.fr/;thomas.cazenave@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Bordeaux;Philippe Poutou;poutou;Rouge Bordeaux Anticapitaliste;NON;2;;;;;bordeauxenluttes.fr (à vérifier);A RECHERCHER
Boulogne-Billancourt;Pierre-Christophe Baguet;baguet;LR-UDI-MoDem-Renaissance-Horizons;NON;0;;SCC@mairie-boulogne-billancourt.fr;mairie;;recherche web;EMAIL OK
Boulogne-Billancourt;Antoine de Jerphanion;jerphanion;Divers droite;NON;0;;;;@2jerph;recherche web;TWITTER OK
Boulogne-Billancourt;Pauline Rapilly-Ferniot;rapilly-ferniot;Union de la gauche (Écologistes/PCF/LFI);NON;0;;;;;;A RECHERCHER
Bourges;Yann Galut;galut;Divers gauche (PS/PCF/EELV);NON;0;;yann.galut@ville-bourges.fr;institutionnel;@yanngalut;recherche web;EMAIL OK
Bourges;Philippe Mercier;mercier;Union de la droite et du centre (LR/Renaissance/Horizons);NON;0;;philippe-mercier@altajuris.com;professionnel;;recherche web;EMAIL OK
Bourges;Marion Recher;recher;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Bourges;Ugo Iannuzzi;iannuzzi;RN (Rassemblement National);NON;0;;;;@ugo_flcn;recherche web;TWITTER OK
Brest;François Cuillandre;cuillandre;La gauche unie pour Brest (PS/EELV/PRG/PCF);OUI;21;https://www.brest-ensemble.fr/;;;@FCuillandre;recherche web;TWITTER OK
Brest;Stéphane Roudaut;roudaut;Une nouvelle histoire pour Brest (DVD/UDI/Horizons/LR);OUI;18;https://www.stephaneroudaut2026.fr/;;;;;SITE A VERIFIER
Brest;Cécile Beaudouin;beaudouin;Brest Insoumise (LFI);NON;5;;;;;;A RECHERCHER
Brest;Sébastien Muscat;muscat;Brest Nouvelle Vague (citoyen gauche);NON;1;;;;;;A RECHERCHER
Brest;Yves Pagès;pages;Rassemblement National;OUI;15;https://yvespages2026.fr/;;;;;SITE A VERIFIER
Brest;Nazim Yenier;yenier;La Vague citoyenne (sans étiquette);NON;2;;;;;;A RECHERCHER
Béziers;Robert Ménard;menard;Divers droite, soutien LR;NON;0;;com@ville-beziers.fr;mairie;@RobertMenardFR;recherche web;EMAIL OK
Béziers;Julien Gabarron;gabarron;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Béziers;Thierry Antoine;antoine;Union de la gauche, Printemps de Béziers;NON;0;;;;;;A RECHERCHER
Béziers;David Ocard;ocard;LFI, Béziers Unie et Populaire;NON;0;;;;;;A RECHERCHER
Béziers;Thierry Mathieu;mathieu;Sans étiquette, Rassembler Béziers;NON;0;;;;;;A RECHERCHER
Caen;Aristide Olivier;olivier;Caen ensemble (DVD);OUI;23;;aristide.olivier@normandie.fr;institutionnel;@AristideOlivier;recherche web;EMAIL OK
Caen;Rudy L'Orphelin;lorphelin;Caen nous rassemble (EELV/PS/PCF/Place publique);NON;6;;rudy.lorphelin@normandie.fr;institutionnel;@rudylorphelin;recherche web;EMAIL OK
Caen;Aurélien Guidi;guidi;Faire mieux pour Caen (LFI/Génération.s);NON;2;;;;;;A RECHERCHER
Caen;Xavier Le Coutour;lecoutour;Citoyens à Caen (DVG);OUI;29;https://xavierlecoutour2026.fr/;;;;xavierlecoutour2026.fr (a verifier);SITE A VERIFIER
Caen;Antoine Casini;casini;Le Caen de l'engagement (PRG/L'Engagement);NON;2;;;;;;A RECHERCHER
Caen;Chantal Henry;henry;RN;NON;0;;;;;;A RECHERCHER
Caen;Thomas Chevalier;chevalier;Caen dynamique ! (centre indépendant);NON;1;;;;@TChevalier_;recherche web;TWITTER OK
Caen;Bérangère Lareynie;lareynie;Caen ouvrière et révolutionnaires (NPA-R);NON;0;;;;;;A RECHERCHER
Caen;Pierre Casevitz;casevitz;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Calais;Natacha Bouchart;bouchart;Divers droite;NON;1;;;;@NatachaBouchart;recherche web;TWITTER OK
Calais;Marc de Fleurian;fleurian;RN (Rassemblement National);NON;2;;;;@MarcDeFleurian;recherche web;TWITTER OK
Calais;Jean-Philippe Lannoy;lannoy;LFI-EELV, À gauche toute !;NON;2;;;;;;A RECHERCHER
Calais;Marion Lavigne;lavigne;PCF-PS-Génération.s, Agissons pour Calais;NON;4;;;;;;A RECHERCHER
Calais;Lucille Nicolas;nicolas;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Calais;Guy Delplanque;delplanque;Sans étiquette;NON;0;;;;;;A RECHERCHER
Calais;Romain Debaisieux;debaisieux;Sans étiquette;NON;0;;;;;;A RECHERCHER
Cannes;David Lisnard;lisnard;LR / Nouvelle Énergie pour la France;NON;0;;;;@davidlisnard;recherche web;TWITTER OK
Cannes;Lucas Mussio;mussio;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Cannes;Michel Hugues;hugues;Union de la gauche (PS-PC-Écologistes), Cannes à vous;NON;0;;;;;;A RECHERCHER
Cayenne;Marie-Laure Phinera-Horth;phinera-horth;NFG (Nouvelle Force de Guyane);NON;0;;;;;;A RECHERCHER
Cayenne;Sandra Trochimara;trochimara;Divers (maire sortante);NON;0;;;;;;A RECHERCHER
Cayenne;Olivier Taoumi;taoumi;La Guyane à droite;NON;0;;;;;;A RECHERCHER
Cayenne;Bernadette Duclona Constant;constant;Nous Guyane;NON;0;;;;;;A RECHERCHER
Cergy;Jean-Paul Jeandon;jeandon;DVG (PS/PCF/EELV/Génération.s);NON;0;;;;@Jp_Jeandon;recherche web;TWITTER OK
Cergy;Daisy Yaich;yaich;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Cergy;Armand Payet;payet;Horizons-LR, droite-centre unie;NON;0;;;;;;A RECHERCHER
Chambéry;Thierry Repentin;repentin;DVG-PS-PCF-Les Écologistes, Chambéry avance;NON;0;;;;;;A RECHERCHER
Chambéry;Vincent Patey;patey;Divers droite, Le Pacte;NON;4;https://chambery2026.fr/;;;@VincentPatey;recherche web;TWITTER OK
Chambéry;Brice Bernard;bernard;RN, Rassemblement pour Chambéry;OUI;27;https://brice-bernard.fr/programme.html;;;@B_Bernard73;recherche web;TWITTER OK
Chambéry;Christian Saint-André;saint-andre;Renaissance;NON;0;;;;;;A RECHERCHER
Chambéry;Christelle Favetta-Sieyès;favetta-sieyes;UDI dissidente, Chambéry pour de vrai;NON;0;;;;;;A RECHERCHER
Chambéry;Gaël Desreumaux;desreumaux;Sans étiquette, Avenir Populaire;NON;0;;;;;;A RECHERCHER
Chambéry;Marie Ducruet;ducruet;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Champigny-sur-Marne;Laurent Jeanne;jeanne;DVD (union droite-centre);NON;0;;monsieur-le-maire@mairie-champigny94.fr;mairie;@LaurentJeanne94;recherche web;EMAIL OK
Champigny-sur-Marne;Julien Léger;leger;PCF, union de la gauche (PS/Place Publique/Génération.s/PRG);NON;0;;;;@LEGERJulien94;recherche web;TWITTER OK
Cherbourg-en-Cotentin;Benoît Arrivé;arrive;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Cherbourg-en-Cotentin;Camille Margueritte;margueritte;Nouveau Centre / droite et centre;NON;0;;;;;;A RECHERCHER
Cherbourg-en-Cotentin;Jean-Marie Lejeune;lejeune;Sans étiquette;NON;0;;;;;;A RECHERCHER
Cherbourg-en-Cotentin;Quentin Briegel;briegel;LFI, Cherbourg Populaire !;NON;0;;;;;;A RECHERCHER
Clermont-Ferrand;Olivier Bianchi;bianchi;Vivre Clermont !;OUI;36;https://bianchi2026.fr;;;;bianchi2026.fr (à vérifier);SITE A VERIFIER
Clermont-Ferrand;Julien Bony;bony;Union Citoyenne de la Droite et du Centre;NON;15;https://bony2026.fr;julien.bony@bony2026.fr;campagne;;bony2026.fr;EMAIL OK
Clermont-Ferrand;Antoine Darbois;darbois;Rassemblement National;NON;11;;;;;à vérifier manuellement;A RECHERCHER
Clermont-Ferrand;Marianne Maximi;maximi;Clermont fier et solidaire (LFI);NON;6;;marianne.maximi@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Clichy;Rémi Muzeau;muzeau;LR / DVD, Avec Rémi Muzeau Clichy;NON;0;http://clichynaturellement.com/;;;@RMuzeau;recherche web;TWITTER OK
Colmar;Éric Straumann;straumann;LR (Les Républicains);NON;0;;;;@ericstraumann;recherche web;TWITTER OK
Colmar;Nathalie Aubert;aubert;RN (Rassemblement National);NON;0;;;;@Nath_Aubert65;recherche web;TWITTER OK
Colmar;Christophe Roussel;roussel;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Colmar;Cécile Ney;ney;Les Écologistes, Colmar Citoyenne Verte et Solidaire;NON;0;;;;;;A RECHERCHER
Colmar;Frédéric Hilbert;hilbert;Les Écologistes-Place publique;NON;0;;;;;;A RECHERCHER
Colmar;Bruno Deltour;deltour;Sans étiquette (liste citoyenne);NON;0;;;;;;A RECHERCHER
Colmar;Yves Hémedinger;hemedinger;Sans étiquette / ex-LR, Fiers d'être colmariens;NON;10;https://yhcolmar2026.fr/;;;@YvesHemedinger;recherche web;TWITTER OK
Colombes;Patrick Chaimovitch;chaimovitch;Les Écologistes (EELV);NON;0;;;;@pchaimovitch;recherche web;TWITTER OK
Colombes;Nicole Chassaniol;chassaniol;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Colombes;Valentin Narbonnais;narbonnais;DVG (PS/Génération Écologie/Place Publique/PRG), Colombes en mieux;NON;0;;;;;;A RECHERCHER
Colombes;Joakim Giacomoni;giacomoni;LR;NON;0;;;;;;A RECHERCHER
Courbevoie;Jacques Kossowski;kossowski;LR (Les Républicains);NON;0;;;;@jakossowski;recherche web;TWITTER OK
Courbevoie;Aurélie Taquillain;taquillain;Divers centre;NON;0;;;;@ATaquillain;recherche web;TWITTER OK
Courbevoie;Cyprien Ronze-Spilliaert;ronze-spilliaert;Gauche (Place Publique);NON;0;;;;;;A RECHERCHER
Créteil;Laurent Cathala;cathala;PS-PCF, Bien ensemble;NON;0;;;;;;A RECHERCHER
Créteil;Mehmet Ceylan;ceylan;UDI (investi par LR);NON;0;;;;;;A RECHERCHER
Créteil;Sylvain Thézard;thezard;DVD (droite dissident, ex-LR);NON;0;;;;;;A RECHERCHER
Créteil;Thierry Hebbrecht;hebbrecht;Sans étiquette (ex-LR);NON;0;;;;;;A RECHERCHER
Dijon;Nathalie Koenders;koenders;Dijon Écologique, Sociale, Attractive (PS/MoDem/EELV);OUI;42;https://koenders2026.fr/;nathalie.koenders@cotedor.fr;institutionnel;@nkoenders;recherche web;EMAIL OK
Dijon;Emmanuel Bichot;bichot;Agir pour Dijon (LR/UDI/Horizons);OUI;39;https://www.bichot2026.fr/;;;@emmanuelbichot;recherche web;TWITTER OK
Dijon;Thierry Coudert;coudert;Rassemblement Dijonnais (UDR-RN);NON;12;;;;@thierrycoudert;recherche web;TWITTER OK
Dijon;Olivier Minard;minard;Dijon Populaire (LFI);NON;10;;municipales_lfi_dijon@protonmail.com;campagne;;recherche web;EMAIL OK
Dijon;Michel Haberstrau;haberstrau;Dijon Change d'ère (EELV/PCF);OUI;28;https://dijonchangedere.fr/;contact@dijonchangedere.fr;campagne;;recherche web;EMAIL OK
Dijon;Rémi Goguel;goguel;Dijon Avenir (citoyenne écologiste);NON;4;;;;;;A RECHERCHER
Dijon;Claire Rocher;rocher;Lutte Ouvrière;NON;3;;;;;;A RECHERCHER
Drancy;Jean-Christophe Lagarde;lagarde;UDI;NON;0;;jean-christophe.lagarde@assemblee-nationale.fr;institutionnel;@jclagarde;recherche web;EMAIL OK
Drancy;Hamid Chabani;chabani;DVG / Divers;NON;0;;;;;;A RECHERCHER
Drancy;Gokhan Unver;unver;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Drancy;Hacene Chibane;chibane;Les Écologistes (EELV);NON;0;;;;;;A RECHERCHER
Dunkerque;Patrice Vergriete;vergriete;Divers gauche (soutenu par PS/PCF/LR);OUI;40;https://www.patricevergriete.dk/;dunkenmouv@gmail.com;campagne;@P_Vergriete;recherche web;EMAIL OK
Dunkerque;Damien Lacroix;lacroix;LFI, Dunkerque populaire;NON;0;;;;;;A RECHERCHER
Dunkerque;Adrien Navé;nave;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Dunkerque;Nicolas Fournier;fournier;Les Écologistes / liste citoyenne, Dunkerque citoyenne;NON;0;;;;;;A RECHERCHER
Fort-de-France;Didier Laguerre;laguerre;PPM (Parti Progressiste Martiniquais);NON;0;;;;;;A RECHERCHER
Fort-de-France;Francis Carole;carole;Divers gauche, Démaré Fodwans;NON;0;;;;;;A RECHERCHER
Fort-de-France;Steeve Moreau;moreau;PLP (Pour Le Peuple);NON;0;;;;;;A RECHERCHER
Fort-de-France;Nathalie Jos;jos;PIA (Péyi A);NON;0;;;;;;A RECHERCHER
Fort-de-France;Marie-Laurence Delor;delor;Divers;NON;0;;;;;;A RECHERCHER
Fréjus;David Rachline;rachline;Sans étiquette (ex-RN);NON;0;;;;@david_rachline;recherche web;TWITTER OK
Fréjus;Emmanuel Bonnemain;bonnemain;Centre-droit, Notre parti c'est Fréjus;NON;14;https://www.notreparticestfrejus.fr/;;;@ebonnemain2020;recherche web;TWITTER OK
Fréjus;Martial Cerrutti;cerrutti;LR, Soyons fiers de Fréjus;NON;0;;;;;;A RECHERCHER
Fréjus;Paula Fassi;fassi;Liste citoyenne, Fréjus notre territoire durablement;NON;0;;;;;;A RECHERCHER
Fréjus;Julien Poussin;poussin;Opposition de gauche;NON;0;;;;;;A RECHERCHER
Fréjus;Christine Romano;romano;Union de la gauche (PCF-PS-LFI-EELV), Fréjus Riposte;NON;0;;;;;;A RECHERCHER
Grenoble;Laurence Ruffin;ruffin;Oui Grenoble (EELV/PS/PCF/Génération.s);OUI;29;https://oui-grenoble.fr/;;;;;SITE A VERIFIER
Grenoble;Alain Carignon;carignon;Réconcilier Grenoble (LR/Renaissance);OUI;17;https://reconciliergrenoble.fr/;alain.carignon@grenoble.fr;institutionnel;@CarignonAlain;recherche web;EMAIL OK
Grenoble;Hervé Gerbi;gerbi;Nous Grenoble (Horizons);NON;11;https://www.hervegerbi.fr/;;;@gerbiherve;recherche web;TWITTER OK
Grenoble;Allan Brunon;brunon;Faire mieux pour Grenoble (LFI);NON;5;;;;;;A RECHERCHER
Grenoble;Romain Gentil;gentil;Grenoble Capitale Citoyenne (PRG/Place Publique);OUI;15;https://grenoble-capitale-citoyenne.fr/;;;;grenoble-capitale-citoyenne.fr (a verifier);SITE A VERIFIER
Grenoble;Valentin Gabriac;gabriac;Grenoble Capitale des Alpes (RN/UDR);NON;5;;;;;;A RECHERCHER
Grenoble;Nadia Belaïd;belaid;Grenoble Alpes Collectif (citoyenne);OUI;21;https://www.grenoblealpescollectif.fr/;;;;;SITE A VERIFIER
Grenoble;Baptiste Anglade;anglade;NPA-Révolutionnaires;NON;5;;;;;;A RECHERCHER
Grenoble;Catherine Brun;brun;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Issy-les-Moulineaux;André Santini;santini;UDI;NON;0;;;;;;A RECHERCHER
Issy-les-Moulineaux;Mathieu Morel;morel;Les Écologistes, Issy écolo et social;OUI;21;https://issyecoloetsocial.fr/notre-programme/;issyecoloetsocial@gmail.com;campagne;;issyecoloetsocial.fr;EMAIL OK
Issy-les-Moulineaux;Gaël Lago;lago;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Ivry-sur-Seine;Philippe Bouyssou;bouyssou;PCF;NON;0;;courrier@ivry94.fr;mairie;@pbouyssouivry;recherche web;EMAIL OK
La Rochelle;Thibaut Guiraud;guiraud;Générations La Rochelle (centre-gauche);NON;4;https://guiraud2026.fr/programme;;;;;A RECHERCHER
La Rochelle;Maryline Simoné;simone;Union de la gauche (PS/EELV/PCF);NON;5;;;;;;A RECHERCHER
La Rochelle;Olivier Falorni;falorni;PRG / Place Publique / La Convention;NON;6;;;;@olivierfalorni;recherche web;TWITTER OK
La Rochelle;Nino Salaün;salaun;LFI (La France Insoumise);NON;5;;;;;;A RECHERCHER
La Rochelle;Christophe Batcabé;batcabe;Sans étiquette / centre-droit;OUI;37;https://christophe-batcabe-larochelle2026.fr/;;;;;SITE A VERIFIER
La Rochelle;Jaouad El Marbouh;marbouh;Sans étiquette, Ensemble pour La Rochelle;NON;1;;;;;;A RECHERCHER
La Rochelle;Séverine Werbrouck;werbrouck;RN (Rassemblement National);NON;1;;;;;;A RECHERCHER
La Rochelle;Antoine Colin;colin;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
La Seyne-sur-Mer;Joseph Minniti;minniti;LR (Les Républicains);NON;19;https://josephminniti2026.fr/;;;;;SITE A VERIFIER
La Seyne-sur-Mer;Cheikh Mansour;mansour;Horizons;NON;14;https://cheikhmansourmunicipales2026.fr/;;;@Mansourcheikh83;recherche web;TWITTER OK
La Seyne-sur-Mer;Jean-Pierre Colin;colin;Centre, Un cap pour la Seyne;NON;0;;;;;;A RECHERCHER
La Seyne-sur-Mer;Stéphane Sacco;sacco;Gauche (GRS-PCF-APRÈS), Uni.e.s à gauche pour La Seyne;NON;0;;;;;;A RECHERCHER
La Seyne-sur-Mer;Olivier Andrau;andrau;PS, La Seyne Ville des Possibles;NON;0;;;;;;A RECHERCHER
Le Blanc-Mesnil;Jean-Philippe Ranquet;ranquet;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Le Chesnay-Rocquencourt;Richard Delepierre;delepierre;Une énergie nouvelle (LDVC);NON;0;;;;;;A RECHERCHER
Le Chesnay-Rocquencourt;UPLCR;uplcr;Unis pour Le Chesnay-Rocquencourt (DVD);NON;0;https://www.uplcr.fr/;;;;;SITE A VERIFIER
